Nivel	Ac	Ap	Et	Ev	a	r
85	7.84	43.73	36.19	0	25	-50
85.28	5.52	20.22	35.39	0	1	-50
85.1	7.49	35.25	25.31	0	19	-50
85.42	9.17	16.58	36.44	0	7	-50
85.22	5.37	18.97	36.22	0	19	-50
85	7.93	38.52	36.56	0	25	-50
85.18	8.27	40.46	35.56	0	19	-50
85.42	1.95	32.01	32.68	0	1	-50
85.44	1.21	22.25	33.01	0	7	-50
85.26	2.62	15.25	26.37	0	1	-50
85.1	13.3	34.44	34.59	0	25	-50
85.34	19.12	22.91	35.51	0	7	-50
85.46	81.22	4.74	36.08	0	7	-50
86.38	132.56	0.38	37.45	0	7	100
88.14	62.78	0	49.76	0	7	100
88.38	20.22	0	59.19	0	16	100
87.66	6.38	0	59.38	0	16	100
86.68	0.86	0	57.05	0	10	100
85.64	56.18	17.53	48.59	0	19	-50
86.1	24.05	0.1	35.8	0	1	-50
85.88	7.66	1.25	35.82	0	25	-50
85.38	7.49	1.2	35.53	0	1	-50
84.88	22.51	21.21	37.07	0	25	-50
85	28.89	14.71	25.09	0	1	-50
85.34	53.9	17.76	45.56	0	25	-50
85.82	167.81	1.83	35.12	0	1	-50
88.3	85.69	0.01	39.82	0	7	100
89.14	35.97	0	42.46	0	7	100
89.02	16.35	0	42.24	0	10	100
88.54	15.41	0	40.17	0	10	100
88.08	149.48	0	40.95	0	16	100
90.06	149.95	0	61.76	0	16	100
91.28	44.75	0	73.35	0	16	100
90.88	16.56	0	72.7	0	10	100
90.1	97.47	0	69.96	57.44	11	100
89.58	39.78	0	70.54	55.96	15	100
87.98	31.23	0	68.82	29.53	9	100
86.74	0	0	66.3	0	9	100
85.16	23.61	0	22.45	0	10	-50
85.18	12.57	0	0	0	10	-50
85.41	10.42	0	0	0	13	-50
85.6	8.75	0	0	0	13	-50
85.76	7.73	0	0	0	13	-50
85.9	6.1	0	0	0	13	-50
86.01	6.1	0	0	0	13	-50
86.12	5.58	0	0	0	13	-50
86.22	6.6	0	0	0	13	100
86.34	7.6	0	0	0	13	100
86.48	4.88	0	0	0	13	100
86.57	4.95	0	0	0	13	100
86.66	3.91	0	0	0	13	100
86.73	4.43	0	0	0	13	100
86.81	0	3.89	0	0	22	100
86.88	2.21	0	0	0	4	100
86.92	4.92	0	0	0	13	100
87.01	2.75	0	0	0	13	100
87.06	27.17	0	0	0	13	100
87.56	10.86	0	0	0	13	100
87.76	7.14	0	0	0	13	100
87.89	12.74	0	3.95	0	16	100
88.05	0	0	26.69	0	16	100
87.16	9.89	0	11.4	0	10	100
87.13	5.99	0	0	0	10	100
87.24	6.65	0	0	0	13	100
87.36	5.53	0	0	0	13	100
87.46	4.4	0	0	0	13	100
87.54	3.37	0	0	0	13	100
87.6	15.31	0	0	0	13	100
87.88	6.53	0	0	0	13	100
88	0	0	17.5	0	16	100
87.57	0	0	13.52	0	10	100
87.06	0	0	20.89	0	16	100
86.05	0	0	28.28	0	16	-50
84.81	0	0	19.26	0	10	-50
84.31	3.33	0	0	0	10	-50
84.37	0	0	4.24	26.22	17	-50
82.22	0	0	0	57.41	11	-100
79.43	0	0	0	39.27	12	-100
78.04	0	0	0	20.02	12	-100
77.19	0.5	0	0	9.65	12	-100
76.95	0	2.83	0	5.33	21	-100
76.88	0	8.3	0	5.07	21	-100
76.96	0	6.03	0	5.95	5	-100
76.96	0	6.85	0	6.01	23	-100
76.98	0	9.77	0	6.97	23	-100
77.05	0	11.19	0	8.39	23	-100
77.12	0	13.43	0	10.24	23	-100
77.2	2.12	12.46	0	12.15	5	-100
77.26	1.8	12.45	0	13.46	5	-100
77.28	3.5	12.45	0	14.33	14	-100
77.32	3.71	12.41	0	15.27	5	-100
77.34	9.35	12.36	0	16.2	5	-100
77.48	6.55	12.34	0	19.18	5	-100
77.47	5.9	12.35	0	18.93	21	-100
77.45	17.09	4.74	0	19.04	5	-100
77.52	24.68	0	0	20.03	5	-100
77.64	91.19	0	0	27.46	14	-100
79.29	0	0	0	37.08	14	-100
78.11	12.19	7.86	0	31.97	21	-100
77.8	10.35	12.25	0	27.52	21	-100
77.67	7.66	15.03	0	24.95	21	-100
77.61	8.33	16.92	0	23.65	21	-100
77.65	7.13	17.01	0	24.06	23	-100
77.65	3.17	16.81	0	19.49	3	-100
77.66	13.5	18.22	0	16.99	21	-100
78.04	6.32	26.9	0	17.28	23	-100
78.45	14.87	26.22	0	17.75	5	-100
79.05	13.63	23.03	0	26.06	5	-100
79.32	11.18	22.07	0	30.31	5	-100
79.39	5.13	26.08	0	30.66	23	-100
79.4	13.93	30.39	0	26.86	21	-100
79.85	9.6	28.69	0	26.91	5	-100
80.1	3.63	25.52	0	30.76	5	-100
80.07	37.84	11.87	0	34.4	5	-100
80.35	51.31	12.99	0	36.53	23	-100
80.86	14.16	29.18	0	38.39	23	-100
80.95	12.16	27.05	0	38.64	5	-100
80.96	7.59	26.13	0	38.58	3	-100
80.87	7.53	24.31	0	38.2	3	-100
80.75	2.92	29.96	0	37.62	21	-100
80.66	9.94	32.49	0	37.41	21	-100
80.75	18.73	21.81	0	37.72	5	-100
80.8	10.15	27.94	0	38	23	-100
80.8	4.93	30.34	0	37.89	21	-100
80.75	13.22	26.37	0	37.79	3	-100
80.78	10.15	30.09	0	37.92	23	-100
80.82	54.88	33.91	0	34.99	21	-100
81.81	65.77	21.87	0	27.45	3	-100
82.92	50.08	16.61	0	29.78	5	-100
83.6	34.58	25.58	0	31.8	23	-100
84.12	57.29	11.04	0	21.55	3	-50
84.98	51.26	0	5.42	4.99	6	-50
85.73	39.36	0	8.88	0	15	-50
86.29	29.88	0	8.68	0	10	100
86.68	22.23	0	8.63	0	10	100
86.93	31.89	0	8.55	0	10	100
87.36	30.7	0	8.46	0	10	100
87.77	21.26	0	8.2	0	10	100
88.01	31.65	0	8.19	0	10	100
88.44	3.75	0	22.15	0	16	100
88.1	0	0	35.65	0	16	100
87.16	0	0	37.6	0	16	100
86.02	0	0	37.41	0	10	-50
84.95	12.28	0	9.33	0	10	-50
85	11.9	0	9.02	0	10	-50
85.05	18.44	0	6.41	0	10	-50
85.27	16.88	0	7.51	0	16	-50
85.44	16.07	0	7.14	0	10	-50
85.6	10.9	0	6.93	0	10	-50
85.67	6.91	0	6.75	0	10	-50
85.67	6.75	0	6.61	0	10	-50
85.67	15.57	0	7.3	0	16	-50
85.82	28.37	0	15.02	0	16	-50
86.06	21.2	0	24.44	0	16	-50
86	11.33	0	19.38	0	10	-50
85.85	0	0	6.67	0	10	-50
85.7	0	0	6.81	0	16	-50
85.5	0	0	6.77	0	10	-50
85.32	0	0	7.05	0	16	-50
85.13	0	0	7.24	0	16	-50
84.94	0	0	10.35	0	16	-50
84.56	0	0	10.78	0	16	-50
84.21	0	0	0.05	49.01	11	-50
80.93	0	0	0	54.59	11	-100
78.44	0	0	0	39.3	12	-100
77.32	0	0	0	32.79	12	-100
83.21	140.23	45.43	33.57	49.1	26	-100
85.11	12.63	107.63	103.4	0	24	-50
85.42	0	105.47	114	0	7	-50
85.26	11.26	108.01	104.91	0	19	-50
85.52	9.77	105.06	103.71	0	1	-50
85.72	9.68	108.25	103.1	0	19	-50
85.99	0.48	108.15	104.02	0	7	-50
86.07	3.07	108.62	107.52	0	25	-50
86.14	7	108.96	105.51	0	19	-50
86.33	2.12	109.17	106.81	0	25	100
86.41	4.81	109.85	106.36	0	19	100
86.56	6.7	109.61	105.9	0	1	100
86.75	2.32	110.38	108.76	0	25	100
86.82	7.99	113.07	110.68	0	25	100
87.01	0	109.7	110.06	0	1	100
87	0	113.76	110.08	10.56	26	100
86.87	0	111.47	110.49	10.56	7	100
86.69	0	112.6	111.03	10.53	24	100
86.52	0	106.9	111.6	10.32	6	100
86.24	0	106.17	112.48	10.21	6	100
85.93	0	90.21	113.77	0	6	-50
85.49	0	102.18	113.83	0	25	-50
85.27	0	107.9	115.77	0	25	-50
85.12	13.64	116.98	111.47	0	19	-50
85.47	0	116	110.88	0	1	-50
85.56	0	111.99	110.07	0	1	-50
85.59	0	114.41	114.64	0	25	-50
85.58	0	115.04	114.78	0	25	-50
85.58	10.29	114.16	112.27	0	1	-50
85.8	9.11	103.88	106.2	0	1	-50
85.92	0	91.9	100.18	0	1	-50
85.76	0	95.91	103.17	0	25	-50
85.62	19.29	100.82	98.2	0	19	-50
86.02	62.64	62.81	98.23	0	7	-50
86.52	0	69.98	97.55	0	19	100
86.01	9.2	101.81	91.95	0	19	-50
86.36	0	95.76	102.15	0	7	100
86.24	1.03	103.54	104.91	0	25	100
86.23	0	99.78	104.98	0	7	100
86.13	0	91.53	109.79	0	7	-50
85.79	0	109.73	113.92	0	25	-50
85.71	10.59	108.82	111.04	0	1	-50
85.86	0	104.36	108.43	0	1	-50
85.78	0	98.72	108.79	0	7	-50
85.59	0	97.63	108.27	0	1	-50
85.39	0	101.2	108.54	0	25	-50
85.25	0	102.33	108.61	0	25	-50
85.13	47.27	112.81	108.96	0	25	-50
86.07	77.51	64.65	109.5	0	7	-50
86.67	0	57.69	108.08	0	1	100
85.74	0	84.8	108.5	0	25	-50
85.3	0	112.45	106.21	0	19	-50
85.41	2.41	114.62	107.54	0	25	-50
85.58	10.71	114.51	106	0	1	-50
85.93	32.99	127.39	100.61	0	19	-50
87.03	5.48	109.48	100.65	0	7	100
87.29	11	94.65	105.4	0	7	100
87.29	0	67.32	102.87	0	1	100
86.63	36.44	107.75	101.61	0	19	100
87.41	0	82.71	93.3	0	1	100
87.21	4.86	99.33	102.81	0	25	100
87.23	0	83.13	101.75	0	1	100
86.88	0	94.32	108.18	0	25	100
86.62	0	92.65	108.12	0	1	100
86.33	0	94.93	106.6	0	19	100
86.11	0	112.17	104.82	0	19	-50
86.24	6.58	112.6	108.09	0	25	100
86.44	2.31	108.25	106.69	0	1	100
86.51	0	104.91	105.94	0	1	100
86.49	0	94.29	103.29	0	1	100
86.32	0	102.44	106.52	0	25	100
86.24	0	100.61	107.85	0	7	100
86.1	0	107.4	106.98	0	19	-50
86.1	1.04	101.03	106.55	0	1	-50
86.01	0.05	111.69	106.59	0	25	-50
86.1	7.67	111.31	106.3	0	1	-50
86.33	8.08	111.15	106.04	0	1	100
86.57	12.29	109.41	105.2	0	1	100
86.87	18.1	106.52	104.39	0	1	100
87.24	17.56	68.85	104.08	0	1	100
86.91	54.38	35.84	73.33	0	1	100
87.22	65.51	0.71	66.19	0	1	100
87.22	25.42	14.59	65.99	0	19	100
86.74	17.21	57.08	66.68	0	25	100
86.88	14.69	67.31	66.24	0	19	100
87.17	6.26	46.8	65.96	0	1	100
86.93	0	45.31	66.22	0	7	100
86.54	4.84	54.87	66.61	0	25	100
86.41	10.57	68.18	66.77	0	25	100
86.63	12.05	52.17	70.1	0	7	100
86.52	0	54.39	83.05	0	25	100
85.99	0	67.6	83.25	0	25	-50
85.7	0	88.44	82.8	0	19	-50
85.8	14.07	94.06	83.58	0	25	-50
86.25	9.97	80.99	83.23	0	1	100
86.39	4.02	76.25	83.34	0	7	100
86.33	0	78.67	83.42	0	25	100
86.24	8.71	86.68	83.28	0	19	100
86.46	21.1	58.69	83.43	0	7	100
86.39	0	64.95	83.24	0	19	100
86.05	4.05	88.09	83.26	0	25	-50
86.21	6.18	77.65	83.14	0	1	100
86.22	1.04	80.66	83.22	0	25	100
86.19	2.71	89.91	83.28	0	25	-50
86.36	2.28	66.13	83.53	0	7	100
86.08	0	70.29	82.65	0	19	-50
85.85	16.68	104.72	83.35	0	25	-50
86.55	24.78	40.55	83.19	0	1	100
86.22	0	53.89	83.01	0	19	100
85.68	1.56	88.9	83.37	0	25	-50
85.81	0	70.09	86.24	0	7	-50
85.51	4.99	94.81	91.57	0	25	-50
85.66	24.91	94.44	91.67	0	7	-50
86.17	20.13	91.78	91.63	0	1	-50
86.54	1.4	74.6	91.54	0	1	100
86.25	12.8	93.09	87.33	0	19	100
86.59	17.06	83.99	83.61	0	1	100
86.91	0	3.08	91.32	0	7	100
85.28	0	94.21	99.56	0	25	-50
85.18	36.96	108.08	100.53	0	25	-50
86	38.2	88.55	100.61	0	7	-50
86.48	6.39	64.38	99.43	0	1	100
85.95	39.65	105.36	100.48	0	25	-50
86.77	24.83	11.29	99.44	0	1	100
85.6	0	75.8	99.53	0	25	-50
85.16	32.09	110.25	100.57	0	25	-50
85.93	30.51	84.81	100.54	0	1	-50
86.2	0	69.53	99.67	0	1	100
85.64	0	109.12	100.23	0	25	-50
85.8	14.34	92.46	100.12	0	1	-50
85.92	26.23	75.03	99.63	0	1	-50
85.95	33.26	52.65	99.88	0	7	-50
85.69	14.19	93.2	97.03	0	19	-50
85.88	2.13	83.61	95.87	0	1	-50
85.69	8.71	104.75	100.22	0	25	-50
85.93	7.7	100.33	103.46	0	7	-50
86.01	9.63	98.67	104.91	0	7	-50
86.07	0	71.69	101.84	0	1	-50
85.51	6.78	111.26	99.94	0	19	-50
85.84	11.68	86.65	98.69	0	1	-50
85.83	0	62.11	106.34	0	7	-50
85.01	0	100.2	107.01	0	25	-50
84.88	10.15	110.73	104.9	0	19	-50
85.17	9.19	110.35	108.48	0	7	-50
85.37	10.57	110.02	108.51	0	7	-50
85.59	11.36	109.37	108.65	0	7	-50
85.81	13.53	108.15	108.55	0	1	-50
86.05	7.37	101.58	108.36	0	1	-50
86.06	14.79	100.13	108.26	0	1	-50
86.18	11.06	86.56	108.26	0	4	-50
85.98	0	85.54	107.6	0	1	-50
85.57	7.99	108.22	108.58	0	25	-50
85.71	13.34	107.58	108.27	0	1	-50
85.94	10.57	102.98	108.42	0	7	-50
86.03	1.28	100.25	108.33	0	1	-50
85.9	19.74	105.2	108.42	0	25	-50
86.2	0.92	82.82	107.94	0	1	100
85.75	0	107.75	107.6	0	19	-50
85.75	5.06	101.5	108.53	0	7	-50
85.71	1.56	104.93	108.44	0	19	-50
85.67	7.39	107.27	108.51	0	25	-50
85.78	6.48	106.7	110.29	0	7	-50
85.83	0	95.85	112.49	0	7	-50
85.52	2.8	101.58	107.42	0	19	-50
85.46	4.38	107.82	112.53	0	25	-50
85.45	6.11	107.44	112.31	0	1	-50
85.47	4.13	107.02	112.55	0	7	-50
85.44	3.4	107.14	112.48	0	19	-50
85.4	10.22	106.99	112.64	0	7	-50
85.48	15.2	106.81	112.78	0	7	-50
85.65	11.91	106.73	112.63	0	1	-50
85.76	20.73	102.29	112.62	0	1	-50
85.95	18.16	101.13	112.68	0	7	-50
86.07	19.35	101.6	112.62	0	19	-50
86.22	46.51	80.2	100.95	0	1	100
86.69	11.46	46.26	91.24	0	1	100
86.07	17.18	84.99	91.82	0	25	-50
86.26	13.13	79.53	91.49	0	1	100
86.28	11.12	74.22	87.42	0	1	100
86.24	0	73.18	86.13	0	1	100
86	9.26	89.02	86.75	0	25	-50
86.21	12.24	75.26	86.24	0	1	100
86.23	14.38	63.34	77.5	0	1	100
86.23	0	80.41	84.52	0	25	100
86.15	15.88	84.67	80.73	0	19	-50
86.51	0	59.68	83.73	0	7	100
86.06	0	58.55	84.88	0	7	-50
85.57	0.22	98.39	85.96	0	25	-50
85.8	18.54	97.15	85.67	0	1	-50
86.35	86.8	56.98	83.58	0	1	100
87.46	69.87	8.76	77.34	0	1	100
87.48	27.93	0.39	74.38	0	1	100
86.63	0	8.06	83.39	0	25	100
85.24	9.27	100.13	82.07	0	19	-50
85.74	36.26	55.15	83.21	0	7	-50
85.89	42.42	60.64	80.83	0	19	-50
86.3	37.16	2.11	66.31	0	1	100
85.8	66.37	24.39	66.34	0	25	-50
86.25	81.09	4.75	58.7	0	1	100
86.75	109.99	0.01	50.36	0	1	100
87.85	41.39	0	58.15	0	7	100
87.54	46.3	0.02	66.32	0	25	100
87.17	59.2	0	66.76	0	7	100
87.03	13.19	0	66.27	0	10	100
86.05	6.47	0.66	66.17	0	19	-50
84.96	0	80.61	67.04	0	25	-50
85.21	27.52	51.94	66.91	0	1	-50
85.44	10.63	50.11	66.56	0	1	-50
85.33	5.13	49.15	66.64	0	7	-50
85.1	8.83	63.89	66.57	0	19	-50
85.21	44.11	57.18	67.02	0	7	-50
85.84	20.61	17.84	66.53	0	1	-50
85.32	0	49.76	66.53	0	22	-50
85.01	2.53	67.43	66.64	0	25	-50
85.07	22.55	59.58	66.91	0	7	-50
85.35	12.41	59.9	66.69	0	19	-50
85.45	24.67	58.22	66.53	0	1	-50
85.75	42.4	13.03	66.73	0	7	-50
85.54	0	34.68	66.1	0	19	-50
84.96	17.27	63.92	66.96	0	25	-50
85.22	53.47	37.66	61.77	0	1	-50
85.76	56.43	0	33.56	0	1	-50
86.18	0	0	37.45	0	16	-50
85.35	0	39.83	66.38	0	25	-50
84.86	16.81	65.79	66.82	0	25	-50
85.15	30.34	48.9	66.74	0	1	-50
85.38	22.71	25.57	66.67	0	1	-50
85.04	0	66.19	66.66	0	19	-50
85.03	21.71	64.02	69.36	0	7	-50
85.33	7.73	53.85	66.95	0	1	-50
85.23	6.19	59.07	66.77	0	19	-50
85.2	5.13	61.95	66.53	0	19	-50
85.21	6.07	56.75	66.54	0	7	-50
85.14	1	66.76	66.54	0	22	-50
85.16	9.86	60.14	66.6	0	7	-50
85.22	3.81	64.08	66.69	0	25	-50
85.24	8.95	62.92	63.06	0	1	-50
85.4	2.43	54.63	66.66	0	7	-50
85.22	0	59.6	66.49	0	19	-50
85.09	4.74	80.04	66.74	0	25	-50
85.42	5.71	46.2	66.38	0	1	-50
85.15	0	62.5	66.69	0	25	-50
85.07	3.24	66.25	66.64	0	19	-50
85.12	26.23	56.51	59.26	0	1	-50
85.55	10.78	35.01	49.99	0	1	-50
85.47	0	39.13	49.84	0	19	-50
85.27	0	46.26	49.92	0	25	-50
85.2	8.22	38.09	49.95	0	7	-50
85.13	43.39	41.52	28.38	0	19	-50
86.17	44.66	2.82	25.14	0	1	-50
86.58	0	2.84	41.25	0	25	100
85.87	0	43.37	53.65	0	25	-50
85.68	4.41	41.56	50.82	0	1	-50
85.59	0	39.02	51.87	0	7	-50
85.35	0	35.28	51.44	0	1	-50
85.05	0	48.59	51.72	0	25	-50
84.99	18.3	40.86	41.67	0	1	-50
85.31	0	42.86	49.76	0	25	-50
85.18	0	44.93	50.77	0	25	-50
85.07	3.4	51.87	50.79	0	25	-50
85.15	3.45	47.37	51.77	0	7	-50
85.13	2.07	51.38	52.24	0	25	-50
85.15	2.18	50.47	52.53	0	7	-50
85.15	26.87	31.34	41.65	0	1	-50
85.45	0	27.64	51.9	0	7	-50
85	0	49.39	51.97	0	25	-50
84.95	9.69	63.08	52.02	0	25	-50
85.33	17.19	55.36	51.84	0	1	-50
85.71	11.87	47.15	51.9	0	7	-50
85.84	0	31.74	51.76	0	1	-50
85.47	20.22	23.74	41.16	0	1	-50
85.52	0	33.29	49.37	0	25	-50
85.22	0	57.41	51.88	0	25	-50
85.32	14.19	65.79	52.11	0	25	-50
85.83	15.1	42.44	51.96	0	1	-50
85.93	23.98	27.21	51.18	0	1	-50
85.93	0	17.41	51.49	0	7	-50
85.3	18.82	48.32	41.05	0	19	-50
85.78	0	27.33	50.04	0	7	-50
85.36	0	49.94	50.9	0	25	-50
85.34	4.45	55.15	49.72	0	19	-50
85.52	5.7	50.6	51.85	0	7	-50
85.6	9.39	56.12	49.11	0	19	-50
85.9	5.24	26.29	51.46	0	7	-50
85.53	0	36.82	41.63	0	19	-50
85.44	0	46.86	51.62	0	25	-50
85.35	0	49.65	52.31	0	25	-50
85.3	2.35	56.89	52.13	0	19	-50
85.43	7.17	44.21	53.45	0	7	-50
85.39	0	41.92	52.65	0	1	-50
85.19	1.3	57.19	51.32	0	19	-50
85.32	21.24	43.96	41.77	0	1	-50
85.75	6.68	32.41	50.93	0	7	-50
85.53	13.58	37.4	52	0	25	-50
85.51	5.03	36.95	49.52	0	1	-50
85.37	0	35.48	50.55	0	7	-50
85.09	0	68.59	52.21	0	25	-50
85.39	28.64	49.21	53.33	0	7	-50
85.84	11.77	15.45	41.76	0	1	-50
85.57	0	34.91	52.08	0	25	-50
85.25	4.99	78.18	51.62	0	19	-50
85.83	18.39	33.38	51.48	0	1	-50
85.83	0	34.66	51.85	0	25	-50
85.51	0	38.75	51.62	0	19	-50
85.27	26.81	28.52	33.51	0	1	-50
85.67	21.79	31.37	33.53	0	25	-50
86.03	14.3	7.35	38.89	0	7	-50
85.71	19.43	39.14	39.04	0	25	-50
86.07	39.16	17.65	39.44	0	7	-50
86.39	10.08	6.92	39.2	0	1	100
85.98	0	18.7	39.26	0	25	-50
85.6	5.21	27.08	33.36	0	19	-50
85.58	5.32	22.13	33.31	0	1	-50
85.47	0	22.62	38.82	0	25	-50
85.17	0	30.68	39.26	0	25	-50
85.01	1.56	47.05	39.26	0	22	-50
85.18	11.09	40.3	39.34	0	7	-50
85.4	8.29	27.26	39.18	0	1	-50
85.33	6.47	39.54	33.42	0	19	-50
85.56	9.34	18.1	33.31	0	1	-50
85.45	0	40.55	38.75	0	25	-50
85.48	10.48	35.95	38.73	0	1	-50
85.62	3.49	28.24	39.15	0	7	-50
85.48	0	31.64	38.53	0	19	-50
85.35	19.46	41.34	39.01	0	25	-50
85.75	68.25	5.67	33.75	0	1	-50
86.49	7.42	1.58	33.31	0	1	100
86.04	0	13.92	33.32	0	25	-50
85.68	0.79	35.19	39.1	0	25	-50
85.62	6.56	35.23	39.02	0	19	-50
85.67	6.54	27.41	39.24	0	7	-50
85.57	3.17	35.36	38.88	0	19	-50
85.56	8.88	36.04	33.35	0	19	-50
85.77	11.17	23.36	34.42	0	7	-50
85.77	0	15.64	38.8	0	7	-50
85.34	0	47.99	39.17	0	25	-50
85.5	9.48	43.62	39.38	0	7	-50
85.75	9.73	20.06	39.36	0	1	-50
85.57	0	27.02	39.37	0	25	-50
85.34	8	37.14	33.6	0	19	-50
85.55	6.74	24.06	33.35	0	1	-50
85.5	0	37.42	38.83	0	25	-50
85.47	7.97	40.19	39.37	0	25	-50
85.63	3.19	33.39	39.14	0	1	-50
85.58	0	29.16	39.27	0	7	-50
85.39	0.23	45.15	39.25	0	19	-50
85.5	11.9	33.06	33.46	0	1	-50
85.71	8.13	12.4	33.35	0	1	-50
85.47	0	33.63	38.95	0	25	-50
85.37	3.11	43.77	39.27	0	25	-50
85.51	6.02	41.72	39.6	0	7	-50
85.66	6.98	38.06	39.44	0	1	-50
85.76	3.89	21.23	39.03	0	1	-50
85.5	0	35.77	33.43	0	19	-50
85.54	48.15	12.65	33.51	0	7	-50
86.04	0	17.89	55.25	0	25	-50
85.35	0	29.97	54.81	0	19	-50
84.89	0	64.19	55.33	0	25	-50
85.05	15.38	58.18	54.42	0	1	-50
85.4	11.46	62.44	55.82	0	25	-50
85.73	36.3	23.18	38.74	0	1	-50
86.11	10.09	12.06	33.33	0	1	-50
85.9	0	11.11	54.88	0	7	-50
85.09	0	64.16	55.25	0	25	-50
85.25	16.64	69.94	56.02	0	25	-50
85.81	19.01	35.69	54.51	0	1	-50
85.81	0	50.31	52.81	0	19	-50
85.76	20.31	31.68	38.82	0	1	-50
86	10.71	4.54	33.49	0	1	-50
85.66	0	21.16	33.37	0	19	-50
85.43	0	39.97	53.94	0	25	-50
85.17	34.52	68.25	55.54	0	25	-50
86.04	13.68	26.49	55.19	0	1	-50
85.76	0	35.9	53.6	0	19	-50
85.43	15.8	35.18	38.87	0	1	-50
85.65	13.13	23.68	33.41	0	1	-50
85.71	0	28.68	55.08	0	25	-50
85.22	0	67.69	55.02	0	19	-50
85.45	13.81	69	55.45	0	25	-50
85.95	11.67	42.19	54.63	0	1	-50
85.93	0	41.79	55.4	0	7	-50
85.67	18.07	41.63	39.14	0	1	-50
86.04	20.8	22.71	33.46	0	1	-50
86.22	0	9.62	55.05	0	7	100
85.38	0	53.54	55.45	0	25	-50
85.34	7.21	75.57	55.81	0	25	-50
85.83	14.62	66.49	59.61	0	7	-50
86.22	2.47	62.18	66.39	0	7	100
86.18	24.51	59.29	53.17	0	1	-50
86.74	0	16.56	35.78	0	1	100
86.38	1.63	56.06	68.23	0	25	100
86.18	10.86	58.91	65.25	0	19	-50
86.26	0	58.2	65.73	0	7	100
86.12	26.92	48.88	55	0	1	-50
86.5	25.09	18.15	34.31	0	1	100
86.66	0	26.58	35.99	0	25	100
86.48	4.96	36.89	35.15	0	19	100
86.6	0	26.1	56.63	0	7	100
86.03	0	50.98	65.78	0	25	-50
85.75	0	49.09	65.19	0	1	-50
85.45	0	71.49	64.26	0	19	-50
85.58	7.9	77.32	64.38	0	25	-50
85.96	21.97	44.6	54.93	0	1	-50
86.17	30	32.57	36.3	0	1	-50
86.65	0	10.95	62.73	0	7	100
85.69	0.27	48.17	65.69	0	25	-50
85.37	0	61.04	65.32	0	19	-50
85.29	6.59	79.23	66.6	0	25	-50
85.64	13.3	68.65	66	0	1	-50
85.93	36.12	31.74	52.99	0	1	-50
86.2	0	21.89	42.29	0	1	100
85.82	0	24.42	63.76	0	25	-50
85.09	0	78.37	64.06	0	25	-50
85.35	11.77	82.29	64.6	0	25	-50
85.89	21.67	51.29	65.17	0	7	-50
86.03	11.96	41.26	51.98	0	1	-50
86.05	0	28.48	62.48	0	7	-50
85.42	1.09	40.61	51.8	0	19	-50
85.23	0	20.97	62.98	0	7	-50
84.45	5.92	78.11	52.26	0	19	-50
85.03	68.21	80.88	63.24	0	25	-50
86.61	0	45.76	63.88	0	7	100
86.27	14.61	47.66	64.68	0	25	100
86.22	0	17.87	62.53	0	1	100
85.39	0	11.62	50.32	0	1	-50
84.67	0	47.27	59.93	0	25	-50
84.43	10.97	89.11	66.78	0	25	-50
85.04	35.23	88.17	62.99	0	1	-50
86.15	17.01	64.92	64.88	0	7	-50
86.46	6.94	63.88	65.15	0	7	100
86.56	6.67	62.55	64.13	0	1	100
86.65	17.12	44.19	52.97	0	1	100
86.8	0	32.89	63.1	0	7	100
86.24	0	42.42	64.09	0	25	100
85.84	0	45.22	64.72	0	25	-50
85.48	0	54.77	63.94	0	19	-50
85.31	1.45	75.21	64.57	0	25	-50
85.53	21.5	69.71	63.33	0	1	-50
86.04	22.59	32.05	52.25	0	1	-50
86.08	0	55.26	63.15	0	25	-50
85.93	0.22	69.65	65.23	0	25	-50
86.01	7.13	68.01	63.38	0	1	-50
86.22	1.58	62.99	64.83	0	7	100
86.21	3.84	51.57	62.7	0	1	100
86.07	0	34.45	64.03	0	7	-50
85.52	3.91	61.36	51.57	0	19	-50
85.63	5.26	55.87	65.55	0	7	-50
85.48	4.89	58.29	67.17	0	25	-50
85.34	6.48	68.44	67.67	0	25	-50
85.58	6.25	74.58	66.68	0	19	-50
86.05	11.78	63.14	67.01	0	7	-50
86.31	8.6	40.97	66.68	0	1	100
85.73	6.72	52.34	54.4	0	19	-50
85.88	5.89	66.46	65.62	0	25	-50
86.1	5.89	66.39	67.33	0	7	-50
86.26	5.62	62.14	68.47	0	7	100
86.23	5.34	64.11	67.76	0	19	100
86.28	5.16	61.89	68.04	0	7	100
86.24	4.98	64.13	66.54	0	19	100
86.32	5.89	49.27	55.27	0	1	100
86.31	5.62	45.98	70.22	0	7	100
85.68	5.71	50.8	68.26	0	19	-50
85.28	2.65	67.04	68.44	0	25	-50
85.32	8.16	71.04	67.81	0	19	-50
85.7	12.55	63.65	68.41	0	7	-50
85.96	13.59	48.87	67.16	0	1	-50
85.8	11.21	43.42	55.21	0	1	-50
85.78	11.21	44.55	65.47	0	25	-50
85.45	8.93	56.22	70.02	0	25	-50
85.28	8.25	68.72	67.84	0	19	-50
85.58	8.49	76.29	79.26	0	25	-50
85.76	7.55	79.37	78.48	0	19	-50
86.04	7.77	75.14	70.28	0	1	-50
86.46	7.31	57.74	67.52	0	1	100
86.37	9.6	49.35	76.72	0	7	100
85.77	12.17	61.14	67.26	0	19	-50
86.17	12.41	50.81	65.81	0	1	-50
